"TIME_PERIOD";"GEO";"AGE";"SEX";"OBS_STATUS";"OBS_VALUE"
"2021-W09";"CH040";"Y25T29";"T";"P";1
"2021-W09";"CH040";"Y25T29";"M";"P";1
"2021-W09";"CH040";"Y30T34";"T";"P";1
"2021-W09";"CH040";"Y30T34";"F";"P";1
"2021-W09";"CH040";"Y35T39";"T";"P";3
"2021-W09";"CH040";"Y35T39";"F";"P";1
"2021-W09";"CH040";"Y35T39";"M";"P";2
"2021-W09";"CH040";"Y50T54";"T";"P";3
"2021-W09";"CH040";"Y50T54";"F";"P";2
"2021-W09";"CH040";"Y50T54";"M";"P";1
"2021-W09";"CH040";"Y55T59";"T";"P";8
"2021-W09";"CH040";"Y55T59";"F";"P";2
"2021-W09";"CH040";"Y55T59";"M";"P";6
"2021-W09";"CH040";"Y60T64";"T";"P";10
"2021-W09";"CH040";"Y60T64";"F";"P";2
"2021-W09";"CH040";"Y60T64";"M";"P";8
"2021-W09";"CH040";"Y65T69";"T";"P";7
"2021-W09";"CH040";"Y65T69";"F";"P";4
"2021-W09";"CH040";"Y65T69";"M";"P";3
"2021-W09";"CH040";"Y70T74";"T";"P";19
"2021-W09";"CH040";"Y70T74";"F";"P";7
"2021-W09";"CH040";"Y70T74";"M";"P";12
"2021-W09";"CH040";"Y75T79";"T";"P";18
"2021-W09";"CH040";"Y75T79";"F";"P";6
"2021-W09";"CH040";"Y75T79";"M";"P";12
"2021-W09";"CH040";"Y80T84";"T";"P";27
"2021-W09";"CH040";"Y80T84";"F";"P";13
"2021-W09";"CH040";"Y80T84";"M";"P";14
"2021-W09";"CH040";"Y85T89";"T";"P";29
"2021-W09";"CH040";"Y85T89";"F";"P";18
"2021-W09";"CH040";"Y85T89";"M";"P";11
"2021-W09";"CH040";"Y_GE90";"T";"P";68
"2021-W09";"CH040";"Y_GE90";"F";"P";47
"2021-W09";"CH040";"Y_GE90";"M";"P";21
"2021-W09";"CH051";"_T";"T";"P";7
"2021-W09";"CH051";"_T";"F";"P";4
"2021-W09";"CH051";"_T";"M";"P";3
"2021-W09";"CH051";"Y60T64";"T";"P";1
"2021-W09";"CH051";"Y60T64";"M";"P";1
"2021-W09";"CH051";"Y80T84";"T";"P";2
"2021-W09";"CH051";"Y80T84";"F";"P";1
"2021-W09";"CH051";"Y80T84";"M";"P";1
"2021-W09";"CH051";"Y_GE90";"T";"P";4
"2021-W09";"CH051";"Y_GE90";"F";"P";3
"2021-W09";"CH051";"Y_GE90";"M";"P";1
"2021-W09";"CH052";"_T";"T";"P";14
"2021-W09";"CH052";"_T";"F";"P";7
"2021-W09";"CH052";"_T";"M";"P";7
"2021-W09";"CH052";"Y0T4";"T";"P";1
"2021-W09";"CH052";"Y0T4";"M";"P";1
"2021-W09";"CH052";"Y45T49";"T";"P";1
"2021-W09";"CH052";"Y45T49";"F";"P";1
"2021-W09";"CH052";"Y55T59";"T";"P";1
"2021-W09";"CH052";"Y55T59";"F";"P";1
"2021-W09";"CH052";"Y65T69";"T";"P";2
"2021-W09";"CH052";"Y65T69";"F";"P";1
"2021-W09";"CH052";"Y65T69";"M";"P";1
"2021-W09";"CH052";"Y75T79";"T";"P";1
"2021-W09";"CH052";"Y75T79";"F";"P";1
"2021-W09";"CH052";"Y85T89";"T";"P";3
"2021-W09";"CH052";"Y85T89";"F";"P";1
"2021-W09";"CH052";"Y85T89";"M";"P";2
"2021-W09";"CH052";"Y_GE90";"T";"P";5
"2021-W09";"CH052";"Y_GE90";"F";"P";2
"2021-W09";"CH052";"Y_GE90";"M";"P";3
"2021-W09";"CH053";"_T";"T";"P";9
"2021-W09";"CH053";"_T";"F";"P";2
"2021-W09";"CH053";"_T";"M";"P";7
"2021-W09";"CH053";"Y70T74";"T";"P";2
"2021-W09";"CH053";"Y70T74";"F";"P";1
"2021-W09";"CH053";"Y70T74";"M";"P";1
"2021-W09";"CH053";"Y85T89";"T";"P";1
"2021-W09";"CH053";"Y85T89";"M";"P";1
"2021-W09";"CH053";"Y_GE90";"T";"P";6
"2021-W09";"CH053";"Y_GE90";"F";"P";1
"2021-W09";"CH053";"Y_GE90";"M";"P";5
"2021-W09";"CH054";"_T";"T";"P";4
"2021-W09";"CH054";"_T";"F";"P";1
"2021-W09";"CH054";"_T";"M";"P";3
"2021-W09";"CH054";"Y80T84";"T";"P";2
"2021-W09";"CH054";"Y80T84";"F";"P";1
"2021-W09";"CH054";"Y80T84";"M";"P";1
"2021-W09";"CH054";"Y85T89";"T";"P";1
"2021-W09";"CH054";"Y85T89";"M";"P";1
"2021-W09";"CH054";"Y_GE90";"T";"P";1
"2021-W09";"CH054";"Y_GE90";"M";"P";1
"2021-W09";"CH055";"_T";"T";"P";79
"2021-W09";"CH055";"_T";"F";"P";40
"2021-W09";"CH055";"_T";"M";"P";39
"2021-W09";"CH055";"Y25T29";"T";"P";1
"2021-W09";"CH055";"Y25T29";"F";"P";1
