TIME_PERIOD;GEO;AGE;SEX;OBS_STATUS;OBS_VALUE
2020-W01;CH033;Y75T79;F;P;6
2020-W01;CH033;Y75T79;M;P;14
2020-W01;CH033;Y80T84;T;P;15
2020-W01;CH033;Y80T84;F;P;8
2020-W01;CH033;Y80T84;M;P;7
2020-W01;CH033;Y85T89;T;P;17
2020-W01;CH033;Y85T89;F;P;8
2020-W01;CH033;Y85T89;M;P;9
2020-W01;CH033;Y_GE90;T;P;25
2020-W01;CH033;Y_GE90;F;P;15
2020-W01;CH033;Y_GE90;M;P;10
2020-W01;CH040;_T;T;P;214
2020-W01;CH040;_T;F;P;119
2020-W01;CH040;_T;M;P;95
2020-W01;CH040;Y0T4;T;P;1
2020-W01;CH040;Y0T4;F;P;1
2020-W01;CH040;Y35T39;T;P;2
2020-W01;CH040;Y35T39;M;P;2
2020-W01;CH040;Y45T49;T;P;2
2020-W01;CH040;Y45T49;F;P;1
2020-W01;CH040;Y45T49;M;P;1
2020-W01;CH040;Y50T54;T;P;1
2020-W01;CH040;Y50T54;M;P;1
2020-W01;CH040;Y55T59;T;P;10
2020-W01;CH040;Y55T59;F;P;4
2020-W01;CH040;Y55T59;M;P;6
2020-W01;CH040;Y60T64;T;P;4
2020-W01;CH040;Y60T64;M;P;4
2020-W01;CH040;Y65T69;T;P;11
2020-W01;CH040;Y65T69;F;P;3
2020-W01;CH040;Y65T69;M;P;8
2020-W01;CH040;Y70T74;T;P;20
2020-W01;CH040;Y70T74;F;P;11
2020-W01;CH040;Y70T74;M;P;9
2020-W01;CH040;Y75T79;T;P;16
2020-W01;CH040;Y75T79;F;P;5
2020-W01;CH040;Y75T79;M;P;11
2020-W01;CH040;Y80T84;T;P;33
2020-W01;CH040;Y80T84;F;P;16
2020-W01;CH040;Y80T84;M;P;17
2020-W01;CH040;Y85T89;T;P;39
2020-W01;CH040;Y85T89;F;P;24
2020-W01;CH040;Y85T89;M;P;15
2020-W01;CH040;Y_GE90;T;P;75
2020-W01;CH040;Y_GE90;F;P;54
2020-W01;CH040;Y_GE90;M;P;21
2020-W01;CH051;_T;T;P;11
2020-W01;CH051;_T;F;P;5
2020-W01;CH051;_T;M;P;6
2020-W01;CH051;Y55T59;T;P;1
2020-W01;CH051;Y55T59;F;P;1
2020-W01;CH051;Y65T69;T;P;1
2020-W01;CH051;Y65T69;M;P;1
2020-W01;CH051;Y80T84;T;P;3
2020-W01;CH051;Y80T84;M;P;3
2020-W01;CH051;Y85T89;T;P;3
2020-W01;CH051;Y85T89;F;P;2
2020-W01;CH051;Y85T89;M;P;1
2020-W01;CH051;Y_GE90;T;P;3
2020-W01;CH051;Y_GE90;F;P;2
2020-W01;CH051;Y_GE90;M;P;1
2020-W01;CH052;_T;T;P;20
2020-W01;CH052;_T;F;P;10
2020-W01;CH052;_T;M;P;10
2020-W01;CH052;Y50T54;T;P;1
2020-W01;CH052;Y50T54;M;P;1
2020-W01;CH052;Y60T64;T;P;1
2020-W01;CH052;Y60T64;M;P;1
2020-W01;CH052;Y65T69;T;P;1
2020-W01;CH052;Y65T69;M;P;1
2020-W01;CH052;Y70T74;T;P;4
2020-W01;CH052;Y70T74;F;P;3
2020-W01;CH052;Y70T74;M;P;1
2020-W01;CH052;Y75T79;T;P;4
2020-W01;CH052;Y75T79;F;P;1
2020-W01;CH052;Y75T79;M;P;3
2020-W01;CH052;Y80T84;T;P;1
2020-W01;CH052;Y80T84;M;P;1
2020-W01;CH052;Y85T89;T;P;1
2020-W01;CH052;Y85T89;M;P;1
2020-W01;CH052;Y_GE90;T;P;7
2020-W01;CH052;Y_GE90;F;P;6
2020-W01;CH052;Y_GE90;M;P;1
2020-W01;CH053;_T;T;P;13
2020-W01;CH053;_T;F;P;5
2020-W01;CH053;_T;M;P;8
2020-W01;CH053;Y55T59;T;P;1
2020-W01;CH053;Y55T59;M;P;1
2020-W01;CH053;Y65T69;T;P;1
2020-W01;CH053;Y65T69;M;P;1
2020-W01;CH053;Y70T74;T;P;1
2020-W01;CH053;Y70T74;M;P;1
2020-W01;CH053;Y75T79;T;P;2
2020-W01;CH053;Y75T79;M;P;2
2020-W01;CH053;Y80T84;T;P;2
2020-W01;CH053;Y80T84;F;P;2
2020-W01;CH053;Y85T89;T;P;2
2020-W01;CH053;Y85T89;F;P;1
2020-W01;CH053;Y85T89;M;P;1
2020-W01;CH053;Y_GE90;T;P;4
2020-W01;CH053;Y_GE90;F;P;2
2020-W01;CH053;Y_GE90;M;P;2
2020-W01;CH054;_T;T;P;1
2020-W01;CH054;_T;M;P;1
2020-W01;CH054;Y85T89;T;P;1
2020-W01;CH054;Y85T89;M;P;1
2020-W01;CH055;_T;T;P;72
2020-W01;CH055;_T;F;P;38
2020-W01;CH055;_T;M;P;34
2020-W01;CH055;Y0T4;T;P;2
2020-W01;CH055;Y0T4;F;P;1
2020-W01;CH055;Y0T4;M;P;1
2020-W01;CH055;Y25T29;T;P;1
2020-W01;CH055;Y25T29;M;P;1
2020-W01;CH055;Y40T44;T;P;1
2020-W01;CH055;Y40T44;M;P;1
2020-W01;CH055;Y45T49;T;P;2
2020-W01;CH055;Y45T49;F;P;2
2020-W01;CH055;Y50T54;T;P;1
2020-W01;CH055;Y50T54;M;P;1
2020-W01;CH055;Y55T59;T;P;1
2020-W01;CH055;Y55T59;M;P;1
2020-W01;CH055;Y60T64;T;P;1
2020-W01;CH055;Y60T64;F;P;1
2020-W01;CH055;Y65T69;T;P;4
2020-W01;CH055;Y65T69;M;P;4
2020-W01;CH055;Y70T74;T;P;2
2020-W01;CH055;Y70T74;F;P;2
2020-W01;CH055;Y75T79;T;P;6
2020-W01;CH055;Y75T79;M;P;6
2020-W01;CH055;Y80T84;T;P;12
2020-W01;CH055;Y80T84;F;P;7
2020-W01;CH055;Y80T84;M;P;5
2020-W01;CH055;Y85T89;T;P;13
2020-W01;CH055;Y85T89;F;P;8
2020-W01;CH055;Y85T89;M;P;5
2020-W01;CH055;Y_GE90;T;P;26
2020-W01;CH055;Y_GE90;F;P;17
2020-W01;CH055;Y_GE90;M;P;9
2020-W01;CH056;_T;T;P;32
2020-W01;CH056;_T;F;P;14
2020-W01;CH056;_T;M;P;18
2020-W01;CH056;Y45T49;T;P;1
2020-W01;CH056;Y45T49;M;P;1
2020-W01;CH056;Y50T54;T;P;1
2020-W01;CH056;Y50T54;M;P;1
2020-W01;CH056;Y55T59;T;P;1
2020-W01;CH056;Y55T59;F;P;1
2020-W01;CH056;Y65T69;T;P;1
2020-W01;CH056;Y65T69;M;P;1
2020-W01;CH056;Y70T74;T;P;3
2020-W01;CH056;Y70T74;F;P;1
2020-W01;CH056;Y70T74;M;P;2
2020-W01;CH056;Y75T79;T;P;1
2020-W01;CH056;Y75T79;M;P;1
2020-W01;CH056;Y80T84;T;P;6
2020-W01;CH056;Y80T84;F;P;2
2020-W01;CH056;Y80T84;M;P;4
2020-W01;CH056;Y85T89;T;P;8
2020-W01;CH056;Y85T89;F;P;3
2020-W01;CH056;Y85T89;M;P;5
2020-W01;CH056;Y_GE90;T;P;10
2020-W01;CH056;Y_GE90;F;P;7
2020-W01;CH056;Y_GE90;M;P;3
2020-W01;CH057;_T;T;P;31
2020-W01;CH057;_T;F;P;13
2020-W01;CH057;_T;M;P;18
2020-W01;CH057;Y35T39;T;P;1
2020-W01;CH057;Y35T39;M;P;1
2020-W01;CH057;Y45T49;T;P;1
2020-W01;CH057;Y45T49;F;P;1
2020-W01;CH057;Y50T54;T;P;2
2020-W01;CH057;Y50T54;M;P;2
2020-W01;CH057;Y55T59;T;P;1
2020-W01;CH057;Y55T59;M;P;1
2020-W01;CH057;Y60T64;T;P;2
2020-W01;CH057;Y60T64;M;P;2
2020-W01;CH057;Y65T69;T;P;4
2020-W01;CH057;Y65T69;M;P;4
2020-W01;CH057;Y70T74;T;P;3
2020-W01;CH057;Y70T74;F;P;1
2020-W01;CH057;Y70T74;M;P;2
2020-W01;CH057;Y75T79;T;P;2
2020-W01;CH057;Y75T79;F;P;2
2020-W01;CH057;Y80T84;T;P;4
