"geoRegion","geoLevel","quarantineStart","quarantineEnd","type","version"
"PF","ISO2",2020-09-07,2020-12-19,"COVID19IntQua","2021-03-24_00-00-00"
"PG","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"PH","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"PK","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"PL","ISO2",2021-03-22,NA,"COVID19IntQua","2021-03-24_00-00-00"
"PM","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"PN","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"PR","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"PS","ISO2",2021-03-22,NA,"COVID19IntQua","2021-03-24_00-00-00"
"PT","ISO2",2021-02-01,2021-03-11,"COVID19IntQua","2021-03-24_00-00-00"
"PW","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"PY","ISO2",2021-04-05,NA,"COVID19IntQua","2021-03-24_00-00-00"
"QA","ISO2",2021-03-22,2021-03-25,"COVID19IntQua","2021-03-24_00-00-00"
"RE","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"RO","ISO2",2021-03-22,NA,"COVID19IntQua","2021-03-24_00-00-00"
"RS","ISO2",2021-02-22,NA,"COVID19IntQua","2021-03-24_00-00-00"
"RU","ISO2",2020-10-12,2020-10-29,"COVID19IntQua","2021-03-24_00-00-00"
"RW","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"SA","ISO2",2020-07-06,2020-08-20,"COVID19IntQua","2021-03-24_00-00-00"
"SB","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"SC","ISO2",2021-02-22,NA,"COVID19IntQua","2021-03-24_00-00-00"
"SD","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
"SE","ISO2",2020-12-28,NA,"COVID19IntQua","2021-03-24_00-00-00"
"SG","ISO2",2020-08-08,2020-08-20,"COVID19IntQua","2021-03-24_00-00-00"
"SH","ISO2",NA,NA,"COVID19IntQua","2021-03-24_00-00-00"
