"date","geoRegion","ICU_AllPatients","ICU_Covid19Patients","ICU_Capacity","Total_AllPatients","Total_Covid19Patients","Total_Capacity","ICU_NonCovid19Patients","ICU_FreeCapacity","Total_NonCovid19Patients","Total_FreeCapacity","timeframe_14d","timeframe_28d","timeframe_phase2","timeframe_phase2b","timeframe_all","Total_Capacity_mean15d","Total_AllPatients_mean15d","Total_Covid19Patients_mean15d","Total_NonCovid19Patients_mean15d","Total_FreeCapacity_mean15d","ICU_Capacity_mean15d","ICU_AllPatients_mean15d","ICU_Covid19Patients_mean15d","ICU_NonCovid19Patients_mean15d","ICU_FreeCapacity_mean15d","type_variant","ICUPercent_AllPatients","ICUPercent_NonCovid19Patients","ICUPercent_Covid19Patients","ICUPercent_FreeCapacity","ICUPercent_Capacity","TotalPercent_AllPatients","TotalPercent_NonCovid19Patients","TotalPercent_Covid19Patients","TotalPercent_FreeCapacity","TotalPercent_Capacity","type","version"
2020-10-15,"LU",31,2,48,762,19,944,29,17,743,182,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",64.6,60.4,4.2,35.4,100,80.7,78.7,2,19.3,100,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-10-15,"NE",9,1,10,338,17,381,8,1,321,43,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",90,80,10,10,100,88.7,84.3,4.5,11.3,100,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-10-15,"NW",5,0,6,70,0,82,5,1,70,12,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",83.3,83.3,0,16.7,100,85.4,85.4,0,14.6,100,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-10-15,"OW",0,0,0,50,0,67,0,0,50,17,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",NA,NA,NA,NA,NA,74.6,74.6,0,25.4,100,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-10-15,"SG",40,7,49,983,31,1196,33,9,952,213,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",81.6,67.3,14.3,18.4,100,82.2,79.6,2.6,17.8,100,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-10-15,"SH",7,0,7,130,11,151,7,0,119,21,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",100,100,0,0,100,86.1,78.8,7.3,13.9,100,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-10-15,"SO",12,1,15,418,9,516,11,3,409,98,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",80,73.3,6.7,20,100,81,79.3,1.7,19,100,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-10-15,"SZ",8,2,11,210,25,312,6,3,185,102,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",72.7,54.5,18.2,27.3,100,67.3,59.3,8,32.7,100,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-10-15,"TG",16,1,31,21,10,91,15,15,11,70,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",51.6,48.4,3.2,48.4,100,23.1,12.1,11,76.9,100,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-10-15,"TI",21,0,51,534,4,633,21,30,530,99,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",41.2,41.2,0,58.8,100,84.4,83.7,0.6,15.6,100,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-10-15,"UR",2,0,6,58,2,81,2,4,56,23,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",33.3,33.3,0,66.7,100,71.6,69.1,2.5,28.4,100,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-10-15,"VD",66,8,86,1167,49,1655,58,20,1118,488,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",76.7,67.4,9.3,23.3,100,70.5,67.6,3,29.5,100,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-10-15,"VS",9,2,15,52,2,81,7,6,50,29,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",60,46.7,13.3,40,100,64.2,61.7,2.5,35.8,100,"COVID19HospCapacity","2021-03-24_08-05-44"
2020-10-15,"ZG",4,1,8,172,8,223,3,4,164,51,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nfp",50,37.5,12.5,50,100,77.1,73.5,3.6,22.9,100,"COVID19HospCapacity","2021-03-24_08-05-44"
