"geoRegion","datum","entries","sumTotal","freq","prct","pop","inz_entries","inzsumTotal","type","type_variant","version","datum_unit","datum_dboardformated","timeframe_all","timeframe_phase2","timeframe_phase2b","timeframe_28d","timeframe_14d"
"CHFL",202032,5,1749,1,100,8644780,0.06,20.23,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-32",TRUE,TRUE,FALSE,FALSE,FALSE
"CHFL",202033,5,1754,1,100,8644780,0.06,20.29,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-33",TRUE,TRUE,FALSE,FALSE,FALSE
"CHFL",202034,5,1759,1,100,8644780,0.06,20.35,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-34",TRUE,TRUE,FALSE,FALSE,FALSE
"CHFL",202035,4,1763,1,100,8644780,0.05,20.39,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-35",TRUE,TRUE,FALSE,FALSE,FALSE
"CHFL",202036,13,1776,1,100,8644780,0.15,20.54,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-36",TRUE,TRUE,FALSE,FALSE,FALSE
"CHFL",202037,17,1793,1,100,8644780,0.2,20.74,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-37",TRUE,TRUE,FALSE,FALSE,FALSE
"CHFL",202038,15,1808,1,100,8644780,0.17,20.91,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-38",TRUE,TRUE,FALSE,FALSE,FALSE
"CHFL",202039,13,1821,1,100,8644780,0.15,21.06,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-39",TRUE,TRUE,FALSE,FALSE,FALSE
"CHFL",202040,11,1832,1,100,8644780,0.13,21.19,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-40",TRUE,TRUE,TRUE,FALSE,FALSE
"CHFL",202041,17,1849,1,100,8644780,0.2,21.39,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-41",TRUE,TRUE,TRUE,FALSE,FALSE
"CHFL",202042,45,1894,1,100,8644780,0.52,21.91,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-42",TRUE,TRUE,TRUE,FALSE,FALSE
"CHFL",202043,142,2036,1,100,8644780,1.64,23.55,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-43",TRUE,TRUE,TRUE,FALSE,FALSE
"CHFL",202044,319,2355,1,100,8644780,3.69,27.24,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-44",TRUE,TRUE,TRUE,FALSE,FALSE
"CHFL",202045,548,2903,1,100,8644780,6.34,33.58,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-45",TRUE,TRUE,TRUE,FALSE,FALSE
"CHFL",202046,607,3510,1,100,8644780,7.02,40.6,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-46",TRUE,TRUE,TRUE,FALSE,FALSE
"CHFL",202047,599,4109,1,100,8644780,6.93,47.53,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-47",TRUE,TRUE,TRUE,FALSE,FALSE
"CHFL",202048,606,4715,1,100,8644780,7.01,54.54,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-48",TRUE,TRUE,TRUE,FALSE,FALSE
"CHFL",202049,589,5304,1,100,8644780,6.81,61.35,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-49",TRUE,TRUE,TRUE,FALSE,FALSE
"CHFL",202050,593,5897,1,100,8644780,6.86,68.21,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-50",TRUE,TRUE,TRUE,FALSE,FALSE
"CHFL",202051,632,6529,1,100,8644780,7.31,75.53,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-51",TRUE,TRUE,TRUE,FALSE,FALSE
"CHFL",202052,595,7124,1,100,8644780,6.88,82.41,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-52",TRUE,TRUE,TRUE,FALSE,FALSE
"CHFL",202053,528,7652,1,100,8644780,6.11,88.52,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-53",TRUE,TRUE,TRUE,FALSE,FALSE
"CHFL",202101,406,8058,1,100,8644780,4.7,93.21,"COVID19Death","","2021-03-24_07-49-49","isoweek","2021-01",TRUE,TRUE,TRUE,FALSE,FALSE
"CHFL",202102,354,8412,1,100,8644780,4.09,97.31,"COVID19Death","","2021-03-24_07-49-49","isoweek","2021-02",TRUE,TRUE,TRUE,FALSE,FALSE
"CHFL",202103,320,8732,1,100,8644780,3.7,101.01,"COVID19Death","","2021-03-24_07-49-49","isoweek","2021-03",TRUE,TRUE,TRUE,FALSE,FALSE
"CHFL",202104,220,8952,1,100,8644780,2.54,103.55,"COVID19Death","","2021-03-24_07-49-49","isoweek","2021-04",TRUE,TRUE,TRUE,FALSE,FALSE
"CHFL",202105,155,9107,1,100,8644780,1.79,105.35,"COVID19Death","","2021-03-24_07-49-49","isoweek","2021-05",TRUE,TRUE,TRUE,FALSE,FALSE
"CHFL",202106,123,9230,1,100,8644780,1.42,106.77,"COVID19Death","","2021-03-24_07-49-49","isoweek","2021-06",TRUE,TRUE,TRUE,FALSE,FALSE
"CHFL",202107,81,9311,1,100,8644780,0.94,107.71,"COVID19Death","","2021-03-24_07-49-49","isoweek","2021-07",TRUE,TRUE,TRUE,FALSE,FALSE
"CHFL",202108,56,9367,1,100,8644780,0.65,108.35,"COVID19Death","","2021-03-24_07-49-49","isoweek","2021-08",TRUE,TRUE,TRUE,TRUE,FALSE
"CHFL",202109,54,9421,1,100,8644780,0.62,108.98,"COVID19Death","","2021-03-24_07-49-49","isoweek","2021-09",TRUE,TRUE,TRUE,TRUE,FALSE
"CHFL",202110,65,9486,1,100,8644780,0.75,109.73,"COVID19Death","","2021-03-24_07-49-49","isoweek","2021-10",TRUE,TRUE,TRUE,TRUE,TRUE
"CHFL",202111,55,9541,1,100,8644780,0.64,110.37,"COVID19Death","","2021-03-24_07-49-49","isoweek","2021-11",TRUE,TRUE,TRUE,TRUE,TRUE
"CHFL",202112,11,9552,1,100,8644780,0.13,110.49,"COVID19Death","","2021-03-24_07-49-49","isoweek","2021-12",FALSE,FALSE,FALSE,FALSE,FALSE
"AG",202009,0,0,NA,NA,685845,0,0,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-09",TRUE,FALSE,FALSE,FALSE,FALSE
"AG",202010,0,0,NA,NA,685845,0,0,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-10",TRUE,FALSE,FALSE,FALSE,FALSE
"AG",202011,0,0,NA,NA,685845,0,0,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-11",TRUE,FALSE,FALSE,FALSE,FALSE
"AG",202012,1,1,1,100,685845,0.15,0.15,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-12",TRUE,FALSE,FALSE,FALSE,FALSE
"AG",202013,8,9,1,100,685845,1.17,1.31,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-13",TRUE,FALSE,FALSE,FALSE,FALSE
"AG",202014,10,19,1,100,685845,1.46,2.77,"COVID19Death","","2021-03-24_07-49-49","isoweek","2020-14",TRUE,FALSE,FALSE,FALSE,FALSE
