"date","geoRegion","altersklasse_covid19","entries","type_variant","pop","sumTotal","per100Persons","per100Persons_mean7d","per100PersonsTotal","mean7d","type","version","granularity","freq","prct"
202052,"GR","20 - 29",0,"altersklasse_covid19",22953,0,0,NA,0,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",NA,NA
202053,"GR","20 - 29",0,"altersklasse_covid19",22953,0,0,NA,0,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",NA,NA
202101,"GR","20 - 29",11,"altersklasse_covid19",22953,11,0.05,NA,0.05,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.017,1.7
202102,"GR","20 - 29",98,"altersklasse_covid19",22953,109,0.43,0.21,0.47,47.71,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.052,5.2
202103,"GR","20 - 29",85,"altersklasse_covid19",22953,194,0.37,0.3,0.85,69.29,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.047,4.7
202104,"GR","20 - 29",48,"altersklasse_covid19",22953,242,0.21,0.35,1.05,80,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.016,1.6
202105,"GR","20 - 29",92,"altersklasse_covid19",22953,334,0.4,0.41,1.46,93.71,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.042,4.2
202106,"GR","20 - 29",151,"altersklasse_covid19",22953,485,0.66,0.39,2.11,89.29,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.041,4.1
202107,"GR","20 - 29",75,"altersklasse_covid19",22953,560,0.33,0.4,2.44,91.43,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.027,2.7
202108,"GR","20 - 29",107,"altersklasse_covid19",22953,667,0.47,0.42,2.91,95.57,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.031,3.1
202109,"GR","20 - 29",67,"altersklasse_covid19",22953,734,0.29,NA,3.2,NA,"COVID19VaccDosesAdministered","2021-03-23_09-08-35","detailed",0.018,1.8
