"altersklasse_covid19","geoRegion","datum","entries","sumTotal","freq","prct","pop","inz_entries","inzsumTotal","type","type_variant","version","datum_unit","datum_dboardformated","timeframe_all","timeframe_phase2","timeframe_phase2b","timeframe_28d","timeframe_14d"
"10 - 19","CH",202011,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-11",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202012,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-12",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202013,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-13",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202014,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-14",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202015,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-15",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202016,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-16",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202017,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-17",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202018,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-18",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202019,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-19",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202020,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-20",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202021,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-21",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202022,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-22",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202023,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-23",TRUE,FALSE,FALSE,FALSE,FALSE
"10 - 19","CH",202024,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-24",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202025,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-25",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202026,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-26",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202027,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-27",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202028,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-28",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202029,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-29",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202030,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-30",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202031,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-31",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202032,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-32",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202033,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-33",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202034,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-34",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202035,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-35",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202036,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-36",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202037,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-37",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202038,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-38",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202039,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-39",TRUE,TRUE,FALSE,FALSE,FALSE
"10 - 19","CH",202040,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-40",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202041,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-41",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202042,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-42",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202043,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-43",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202044,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-44",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202045,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-45",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202046,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-46",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202047,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-47",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202048,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-48",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202049,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-49",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202050,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-50",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202051,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-51",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202052,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-52",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202053,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2020-53",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202101,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-01",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202102,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-02",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202103,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-03",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202104,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-04",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202105,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-05",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202106,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-06",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202107,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-07",TRUE,TRUE,TRUE,FALSE,FALSE
"10 - 19","CH",202108,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-08",TRUE,TRUE,TRUE,TRUE,FALSE
"10 - 19","CH",202109,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-09",TRUE,TRUE,TRUE,TRUE,FALSE
"10 - 19","CH",202110,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-10",TRUE,TRUE,TRUE,TRUE,TRUE
"10 - 19","CH",202111,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-11",TRUE,TRUE,TRUE,TRUE,TRUE
"10 - 19","CH",202112,0,0,0,0,844155,0,0,"COVID19Death","altersklasse_covid19","2021-03-24_07-49-49","isoweek","2021-12",FALSE,FALSE,FALSE,FALSE,FALSE
