Provincias;Sexo;Edad (grupos quinquenales);Tipo de dato;Periodo;Total
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM41;14
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM40;18
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM39;16
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM38;10
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM37;10
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM36;10
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM35;19
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM34;25
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM33;19
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM32;21
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM31;24
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM30;13
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM29;11
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM28;16
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM27;15
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM26;15
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM25;8
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM24;8
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM23;15
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM22;16
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM21;10
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM20;17
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM19;13
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM18;11
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM17;12
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM16;8
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM15;18
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM14;20
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM13;16
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM12;15
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM11;13
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM10;12
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM09;10
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM08;14
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM07;23
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM06;22
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM05;22
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM04;11
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM03;14
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM02;18
Total Nacional;Total;De 25 a 29 años;Dato base;2020SM01;14
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM53;18
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM52;21
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM51;21
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM50;31
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM49;22
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM48;19
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM47;13
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM46;20
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM45;21
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM44;21
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM43;24
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM42;21
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM41;28
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM40;26
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM39;23
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM38;32
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM37;29
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM36;30
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM35;24
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM34;29
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM33;29
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM32;18
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM31;24
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM30;20
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM29;22
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM28;28
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM27;14
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM26;11
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM25;19
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM24;28
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM23;22
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM22;17
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM21;13
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM20;21
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM19;22
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM18;20
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM17;21
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM16;21
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM15;21
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM14;17
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM13;25
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM12;26
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM11;19
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM10;28
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM09;22
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM08;17
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM07;19
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM06;19
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM05;23
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM04;20
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM03;19
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM02;24
Total Nacional;Total;De 30 a 34 años;Dato base;2020SM01;27
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM53;29
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM52;34
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM51;41
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM50;36
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM49;35
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM48;30
Total Nacional;Total;De 35 a 39 años;Dato base;2020SM47;30
